concept_id,standard,concept,description,source_url
1,Lean Manufacturing,Lean Manufacturing,"Ellean manufacturing(también conocido como ‘producción apretada’, ‘manufactura esbelta’, ‘producción limpia’ o ‘producción sin desperdicios’)[1]​ es un modelo de gestión de origen japonés que se enfoca en minimizar las pérdidas de los sistemas de manufactura al mismo tiempo que maximiza la creación de valor para el cliente final. Para ello utiliza la mínima cantidad de recursos, es decir, los estrictamente necesarios para el crecimiento.",https://es.wikipedia.org/wiki/Lean_manufacturing
2,Lean Manufacturing,Lean Manufacturing,"Eliminando el despilfarro se mejora la calidad y se reducen el tiempo de producción y el coste. Las herramientaslean(eninglés, ‘ágil’, ‘esbelto’ o ‘sin grasa’) incluyen procesos continuos de análisis (llamadaskaizenenjaponés), producciónpull(‘disuasión e incentivo’, en el sentido del término japonéskanban), y elementos y procesos «a prueba de fallos» (poka yoke, en japonés), con la filosofía delMonozukuri(‘hacer las cosas bien’, en japonés), todo desde elgenbajaponés o área de valor.",https://es.wikipedia.org/wiki/Lean_manufacturing
3,Lean Manufacturing,Lean Manufacturing,"Un aspecto crucial es que la mayoría de los costes se calculan en la etapa de diseño de un producto. A menudo un ingeniero especificará materiales y procesos conocidos y seguros a expensas de otros baratos y eficientes. Esto reduce los riesgos del proyecto, o lo que es lo mismo, el coste según el ingeniero, pero a base de aumentar los riesgos financieros y disminuir los beneficios. Las buenas organizaciones desarrollan y repasan listas de verificación para validar el diseño del producto.",https://es.wikipedia.org/wiki/Lean_manufacturing
4,Lean Manufacturing,Lean Manufacturing,"En resumen,lean manufacturinges básicamente todo lo concerniente a obtener las cosas correctas en el lugar correcto, en el momento correcto, en la cantidad correcta, minimizando el despilfarro, siendo flexible y estando abierto al cambio.",https://es.wikipedia.org/wiki/Lean_manufacturing
5,Lean Manufacturing,Lean Manufacturing,"Ellean manufacturinges una metodología de trabajo simple, profunda y efectiva que tiene su origen en Japón, enfocada a incrementar la eficiencia productiva en todos los procesos a partir de que se implanta la filosofía de gestiónkaizende mejora continua en tiempo, espacio, desperdicios, inventario y defectos involucrando al trabajador y generando en él un sentido de pertenencia al poder participar en el proceso de proponer sus ideas de cómo hacer las cosas mejor.[2]​",https://es.wikipedia.org/wiki/Lean_manufacturing
6,Lean Manufacturing,Lean Manufacturing,"Esta metodología de mejora de la eficiencia enmanufacturasfue tomada por James Womack copiando la estructura del sistema de producción Toyota desarrollado porTaiichi Ohno, director y consultor de la empresaToyota. Ingresado en 1937, Ohno observó que antes de laguerra, la productividad japonesa era muy inferior a la estadounidense. Después de la guerra, Ohno visitóEstados Unidos, donde estudió los principales pioneros de productividad y reducción de desperdicio del país comoFrederick TayloryHenry Ford. Ohno se mostró impresionado por el énfasis excesivo que los estadounidenses ponían en la producción en masa de grandes volúmenes en perjuicio de la variedad, y el nivel de desperdicio que generaban las industrias en el país más rico de la posguerra. Cuando visitó los supermercados tuvo un efecto inspirador inmediato; Ohno encontró en ellos un ejemplo perfecto de su idea de manejar inventarios reducidos, eliminar pasos innecesarios y controlar las actividades primarias y dar control al que hace el trabajo (en este caso el cliente) como apoyo a lacadena de valor.[3]​ La palabra japonesamudasignifica ‘desperdicio’ y se refiere en específico, a cualquier actividad humana que consume recursos y no crea valor.El términolean manufacturingse empieza a utilizar cuando los días dorados de la fabricación de automóviles en masa en los EE. UU terminan en 1976 a consecuencia de la bancarrota de Chrysler y las pérdidas de dinero de GM y Ford. También influyó en esta situación la segunda crisis del petróleo que llevó a la producción de automóviles de Estados Unidos a bajar 22% su producción y el interés por las técnicas de fabricación japonesas. En particular, el sistema de producción de Toyota, que llevó a la publicación de dos artículos en 1977: uno de Sugimori en elJournal of production research[4]​ y el otro de Ashburn en elAmerican Machinist.[5]​ Estos artículos plantearon preocupaciones en empresas automotrices de Estados Unidos y Europa. Sin embargo, fue una transmisión de NBC-TV de la productora Claire Crawford-Mason en 1980, titulada ""Si Japón puede, ¿por qué no podemos?"". Esto provocó una revolución de calidad que condujo al programa de investigación IMVP de cinco años y cinco millones de dólares.[6]​ Posteriormente, esta investigación fue conocida como la investigación de JP Womack que le llevó a publicar el libro ""La máquina que cambió el mundo"",[7]​ donde aparece por primera vez el términolean manufacturing.",https://es.wikipedia.org/wiki/Lean_manufacturing
7,Lean Manufacturing,Lean Manufacturing,"El objetivo es encontrar herramientas que ayuden a eliminar todos los desperdicios y todas las operaciones que no le agregan valor al producto o a los procesos, aumentando el valor de cada actividad realizada y eliminando lo que no se requiere. Este proceso de manufactura está relacionado con la utilización delactivity-based costing(generación de costes basado en la actividad) el cual ―de acuerdo a su versión original― busca relacionar los costes con todos los valores que el cliente percibe en el producto. Por otro lado, sirve para implantar una filosofía de mejora continua que le permita a las compañías reducir sus costes, mejorar los procesos y eliminar los desperdicios para aumentar la satisfacción de los clientes y mantener el margen de utilidad. El propósito dellean manufacturinges serle útil a la comunidad lo cual implica estar en busca de la mejora continua.",https://es.wikipedia.org/wiki/Lean_manufacturing
8,Lean Manufacturing,Lean Manufacturing,"Planteamientos posteriores han logrado crear derivaciones que van adquiriendo popularidad en el mundo industrial, llegando a desarrollar herramientas comoSeis Sigma,TPM,JITy otras que se implementan como parte de proyectos delean manufacturingo incluso como herramientas individuales. Las organizaciones más avanzadas logran tener sistemas propios de producción, los cuales se basan en su propia cultura e idiosincrasia. Ejemplos de ellos son los sistemas basados enmonozukurique están en auge. Se basan en implementaciones paso a paso de acuerdo a la madurez de la organización, teniendo como base la disciplina y la formación de la base de la pirámide. Ejemplos de ellos son el sistema de producción de la automotriz francesa Renault y de la japonesa Nissan, que al unirse llegaron a un sistema propio que lo denominaron APW. Así mismo, en otras organizaciones basan la construcción de su propio sistema en sistemas genéricos comomonozukuri-genba, que incluye ellean manufacturingdentro de su nivel 4 de madurez.",https://es.wikipedia.org/wiki/Lean_manufacturing
9,Lean Manufacturing,Lean Manufacturing,"Además de su aplicación tradicional en entornos industriales y de fabricación, la filosofía Lean ha evolucionado para adaptarse a distintos ámbitos dentro de las organizaciones. Actualmente, muchas empresas aplican los principios Lean no solo enproducción, sino también en áreas como lalogística, elmantenimiento, lagestión de proyectoso incluso la administración general. Esta transversalidad ha dado lugar a enfoques específicos comoLean Logistics,Lean MaintenanceoLean Management, que comparten los objetivos comunes deeliminar desperdicios, mejorar la eficiencia y aumentar el valor aportado al clienteen cada proceso.[8]​",https://es.wikipedia.org/wiki/Lean_manufacturing
10,Lean Manufacturing,Lean Manufacturing,"Las 5S fue un programa desarrollado por Toyota para conseguir mejoras duraderas en el nivel de organización, orden y limpieza, además de aumentar la motivación del personal.",https://es.wikipedia.org/wiki/Lean_manufacturing
